epoch,train_loss,test_acc@1,test_acc@5
1,5.534087618803366,42.46,90.51
2,5.283090143937331,44.51,90.97
3,5.196160663702549,45.53,91.58
4,5.1050873291798124,50.49,93.51
5,5.0521525774246605,53.71,94.52000000000001
6,5.009078326592078,55.7,95.71
7,4.977302744449713,57.26,95.88
8,4.953719019278502,57.99999999999999,96.07
9,4.932034260187393,59.58,96.57
10,4.915878511086488,61.339999999999996,96.94
11,4.904312894283197,61.47,96.67
12,4.887197342897073,63.800000000000004,97.38
13,4.87639130567893,64.47,97.37
14,4.866078724005283,64.88000000000001,97.48
15,4.859340327825302,65.46,97.61
16,4.852794710795084,66.02,97.61
17,4.844913744315123,66.51,97.39999999999999
18,4.836807397695688,67.38,97.43
19,4.832875889998216,67.86999999999999,97.50999999999999
20,4.826715757907965,68.45,97.89999999999999
21,4.823171979953081,68.76,97.96000000000001
22,4.8185026462261495,69.21000000000001,97.96000000000001
23,4.812792790241731,69.1,97.97
24,4.809111181894938,69.69,98.07000000000001
25,4.807055331499148,69.32000000000001,98.03
26,4.802953209021153,69.05,97.91
27,4.7999292178031725,70.72,98.22999999999999
28,4.794982112982335,70.89,98.17
29,4.794156722533397,71.15,98.22999999999999
30,4.790237189561893,71.54,98.27
31,4.784607016734588,71.21,98.27
32,4.778478443928254,71.81,98.15
33,4.779213697482378,71.55,98.25
34,4.781983955089863,71.99,98.25
35,4.77678200892913,71.78999999999999,98.16
36,4.773207605802096,72.33000000000001,98.29
37,4.76926308900882,72.28,98.28
38,4.767809848296337,72.5,98.35000000000001
39,4.7656962590339855,72.91,98.32
40,4.769435491317358,72.75,98.41
41,4.758406079121125,73.36,98.52
42,4.759618316552578,73.27,98.42
43,4.758001515804193,73.07000000000001,98.54
44,4.756873184595353,73.34,98.6
45,4.75096439459385,73.91,98.58
46,4.748103183355087,73.79,98.65
47,4.750605825277475,74.11999999999999,98.46000000000001
48,4.749527745369154,74.36,98.6
49,4.747505469199939,74.31,98.47
50,4.742319635244516,74.66000000000001,98.58
51,4.743598216619247,74.82,98.7
52,4.739969512743827,74.47,98.64
53,4.738768440637833,74.38,98.56
54,4.737544935177534,75.24,98.66
55,4.736862938220685,75.03,98.65
56,4.735433116325965,75.46000000000001,98.7
57,4.732422183110164,74.42999999999999,98.68
58,4.7299138387044275,75.94999999999999,98.74000000000001
59,4.730888572105995,75.51,98.63
60,4.729690324343168,75.71,98.68
61,4.724651933327699,75.61,98.7
62,4.728902386396359,76.55999999999999,98.87
63,4.724886884444799,76.29,98.75
64,4.724759766994379,76.39,98.74000000000001
65,4.726500542958577,76.14999999999999,98.75
66,4.722794266236134,76.02,98.63
67,4.7199563760023855,76.22,98.72999999999999
68,4.715805613688934,76.72,98.71
69,4.718125335986798,76.55999999999999,98.85000000000001
70,4.715950723794791,76.75,98.77
71,4.7133491785098345,76.85,98.8
72,4.718162783598289,77.22,98.76
73,4.712526935186141,76.55999999999999,98.79
