epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.1158534519386292,79.308,97.938,0.5569765863895416,86.7,99.45
2,0.5781779790878296,83.272,98.788,0.4094925539970398,88.14999999999999,99.57000000000001
3,0.5070816118812561,84.198,98.902,0.35624227991104124,89.02,99.65
4,0.4764758807182312,84.596,98.848,0.33034778566360473,89.42999999999999,99.7
5,0.4621928009033203,84.726,98.952,0.3159568455219269,89.97,99.71
6,0.4522793263053894,84.798,98.982,0.30397565875053406,90.19,99.7
7,0.446607871389389,85.146,98.94800000000001,0.2978192243337631,90.29,99.7
8,0.43969440885543826,85.244,98.982,0.2911322662115097,90.44,99.71
9,0.43077179565429685,85.344,99.036,0.28722104353904726,90.45,99.76
10,0.42581983986854555,85.48,99.05199999999999,0.2808662845134735,90.67,99.78
11,0.4226124531555176,85.72,99.076,0.27791265602111814,90.81,99.75
12,0.419839655418396,85.702,99.068,0.2748047530412674,90.91,99.78
13,0.4210353859043121,85.942,99.012,0.27294276070594786,90.89,99.79
14,0.4184762242794037,85.72999999999999,99.13,0.2728335704088211,90.82000000000001,99.78
15,0.41238459035873415,86.02,99.098,0.26921531846523283,91.01,99.78
16,0.41616996717453003,85.848,99.1,0.26751395559310914,91.05,99.81
17,0.416525369720459,85.88,99.024,0.26542884652614596,91.14999999999999,99.78
18,0.41701410936355593,85.81400000000001,99.066,0.2657932685136795,91.09,99.78
19,0.41359122299194334,85.988,98.966,0.26363116071224213,91.13,99.74
20,0.41007430740356443,86.138,99.076,0.2614797438621521,91.25999999999999,99.78
21,0.4078916823005676,86.22,99.05199999999999,0.26173794157505037,91.11,99.78
22,0.40588128247261046,86.32,99.14,0.26133255772590636,91.17,99.8
23,0.4022452553939819,86.26,99.08,0.2573262704849243,91.21000000000001,99.82
24,0.4027765411758423,86.404,99.058,0.25976299753189086,91.19,99.79
25,0.4081517277431488,86.138,99.122,0.25648809030056,91.25,99.8
26,0.41241002153396605,86.072,99.022,0.25713224444389343,91.3,99.79
27,0.40219974294662475,86.45,99.10799999999999,0.2565560047388077,91.27,99.78
28,0.4023516014480591,86.30799999999999,99.09400000000001,0.25938786833286287,91.2,99.79
29,0.4033569492340088,86.29400000000001,99.118,0.256459543967247,91.3,99.8
30,0.40331275760650637,86.238,99.09,0.25582127141952515,91.29,99.79
31,0.4061914551734924,86.168,99.104,0.25565560111999514,91.29,99.77000000000001
32,0.4048174617767334,86.22800000000001,99.014,0.2557618987798691,91.27,99.8
33,0.3970868290710449,86.408,99.14,0.25471428532600404,91.38,99.8
34,0.40533121514320375,86.116,99.122,0.25504378571510317,91.33,99.8
35,0.40036387117385863,86.48599999999999,99.03800000000001,0.253170437335968,91.35,99.8
36,0.39599224831581115,86.604,99.10600000000001,0.25324992425441745,91.47999999999999,99.8
37,0.39653046508789064,86.59599999999999,99.086,0.2542626774549484,91.49000000000001,99.78
38,0.39971390771865845,86.416,99.08,0.2530369958639145,91.49000000000001,99.78
39,0.39208928297042844,86.604,99.128,0.25337370440959933,91.45,99.8
40,0.39639314203262327,86.33800000000001,99.07000000000001,0.25238882653713224,91.34,99.8
41,0.3964109090232849,86.47,99.026,0.25245833513736726,91.46,99.8
42,0.39882938425064085,86.508,99.078,0.2513854327201843,91.47999999999999,99.79
43,0.4007968667602539,86.29,99.048,0.25102081055641173,91.41,99.81
44,0.4018431053829193,86.27,99.112,0.25011685655117033,91.47999999999999,99.83
45,0.40035931571483613,86.47399999999999,99.044,0.25151075649261473,91.49000000000001,99.8
46,0.39349023500442504,86.572,99.002,0.2519169258594513,91.46,99.8
47,0.40210450238227846,86.378,99.036,0.2488168959379196,91.5,99.81
48,0.3938552205371857,86.546,99.17,0.24953691051006316,91.46,99.81
49,0.3922329146385193,86.752,99.136,0.24833936035633086,91.49000000000001,99.81
50,0.3960441214466095,86.406,99.056,0.2501680881261826,91.43,99.81
51,0.39281865831375123,86.55199999999999,99.098,0.24890302879810333,91.4,99.8
52,0.3919017014694214,86.572,99.158,0.2511743060827255,91.33,99.79
53,0.39105184529304504,86.508,99.142,0.248010812664032,91.46,99.79
54,0.3915775278663635,86.67399999999999,99.116,0.24812950742244722,91.46,99.77000000000001
55,0.39344923542022703,86.564,99.134,0.24980772433280946,91.34,99.77000000000001
56,0.3908897540092468,86.74,99.136,0.24904459986686706,91.45,99.81
57,0.39600123269081117,86.36,99.09400000000001,0.24766672735214235,91.62,99.79
58,0.3922908856010437,86.666,99.126,0.2480085517883301,91.5,99.81
59,0.39278098413467405,86.53999999999999,99.122,0.24709132068157197,91.61,99.8
